Symbol,Accuracy
D,0.895458846
AEE,0.89541432
DTE,0.8939142
LNT,0.886464646
ED,0.885798429
DUK,0.884651601
AWK,0.884430177
XOM,0.879785091
AEP,0.87555404
ATO,0.873397436
ESS,0.865258558
ES,0.852785685
EVRG,0.849792531
AVB,0.845511482
EIX,0.840862841
ARE,0.831114809
AMCR,0.830769231
EQR,0.83031182
FE,0.830204082
FRT,0.824873096
BXP,0.824335214
KO,0.822340073
CNP,0.820987654
MMM,0.818181818
CINF,0.81379643
AIZ,0.813287514
EXC,0.812863071
ETR,0.812622501
CBOE,0.812615955
DG,0.808373591
CPB,0.802234175
FRC,0.801526718
CL,0.796912114
T,0.796428571
ADP,0.796217494
ALLE,0.79368932
BDX,0.789963577
EMR,0.788084766
CVX,0.786990226
ALL,0.78340081
FIS,0.782931354
DRE,0.781372002
ABT,0.780487805
RE,0.779122542
AON,0.775302663
AJG,0.773871983
EXR,0.772264631
AME,0.769449177
ACN,0.766761095
BR,0.765957447
CDW,0.764044944
BAX,0.762645914
CHD,0.761302868
DLR,0.761072261
CMS,0.758495146
ECL,0.756658596
BMY,0.754144763
CLX,0.748695303
MO,0.745393635
CHTR,0.742725881
ABBV,0.737931034
CAG,0.737335835
BRO,0.734026746
CTAS,0.732808399
FITB,0.731064238
CB,0.730263158
GOOGL,0.723744292
FISV,0.719615602
BLL,0.719155844
APD,0.715140359
AIG,0.714557564
AMT,0.714525609
FLT,0.713012478
EL,0.709576138
GOOG,0.709570957
DOV,0.709462672
AFL,0.707706767
EW,0.705769231
ETN,0.704077513
CCI,0.703333333
CMA,0.702728578
BK,0.701266857
XRAY,0.699602499
DD,0.696839641
BLK,0.695977549
ADM,0.695610687
COP,0.690335306
CVS,0.689516129
ANTM,0.689163498
DHR,0.687789084
EFX,0.685754851
CHRW,0.682113821
CME,0.681397739
EMN,0.677556818
CI,0.676012461
COST,0.674678591
ABC,0.672400898
CSX,0.671612265
AXP,0.671079021
C,0.666972477
AVY,0.664900122
DRI,0.657894737
CAT,0.657529723
AZO,0.65676359
AAP,0.655072464
DPZ,0.65301479
APTV,0.652173913
AMP,0.650955414
CFG,0.650793651
CAH,0.649013499
DFS,0.647291942
EXPD,0.646458924
CE,0.641705069
A,0.63876652
STZ,0.63494133
DVA,0.634601044
CRL,0.633869442
DE,0.628372854
CCL,0.626221967
TECH,0.623738872
APH,0.621567314
BAC,0.621478154
CMCSA,0.618364419
CPRT,0.618233618
AVGO,0.612277868
DISCK,0.609351433
DISCA,0.606971154
CARR,0.604651163
EQIX,0.602739726
FDS,0.601076095
EBAY,0.598812553
AES,0.596318212
ALB,0.593682699
CSCO,0.593672457
BA,0.5931657
ANSS,0.59169279
BIO,0.59118901
AMGN,0.588356517
CBRE,0.587443946
EPAM,0.587044534
FAST,0.582758621
FDX,0.581416743
AOS,0.578784758
CTSH,0.577186964
CTLT,0.576502732
CTVA,0.57480315
COF,0.569620253
DLTR,0.566568047
BWA,0.564450475
GLW,0.564411028
BSX,0.561320755
DXC,0.560702097
CMI,0.550847458
EXPE,0.545454545
APA,0.538961039
COO,0.534328358
CERN,0.534261838
DOW,0.524193548
CTXS,0.522900763
ADI,0.522749274
DISH,0.522501907
ATVI,0.514144272
BBWI,0.512562814
ADBE,0.509111617
DVN,0.509051015
BKR,0.506575186
CTRA,0.505971087
BKNG,0.500436681
CDNS,0.499721758
CMG,0.494962217
EOG,0.485502776
KMX,0.483924155
AMZN,0.479735318
SCHW,0.477962221
CF,0.477803738
ALK,0.475296443
EA,0.468385513
AKAM,0.465613383
BIIB,0.460973983
DAL,0.458503401
AAPL,0.455809335
CNC,0.455809335
FFIV,0.455172414
DHI,0.452893674
ADSK,0.43800758
FANG,0.430927835
ANET,0.42455243
BBY,0.423477784
AMAT,0.420754717
CZR,0.415549598
AAL,0.384341637
ALGN,0.383732057
ABMD,0.36820331
CDAY,0.340540541
ETSY,0.337047354
AMD,0.330931796
DXCM,0.327566321
ENPH,0.320833333
